[11, 891] ['独栋·泊寓 立基公馆店 实惠精致户（独立厨房 开间', nan, '34.29-40.71', '1', 1819, 1879]
[71, 7077] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 7106] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 7285] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 7554] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 7583] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 7912] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 8031] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 8060] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 8299] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 8628] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 8657] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 8776] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 9315] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 9404] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 9493] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 10002] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 10091] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 10180] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 10479] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 10718] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 10747] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 11016] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 11105] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 11314] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 11643] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 11732] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 11791] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 12210] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 12269] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 12298] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 12327] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 13016] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 13225] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 13554] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 13853] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 13882] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 14091] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 14240] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 14269] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 14298] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 14477] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 14806] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 14865] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 15194] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 15253] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 15672] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 16301] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 16510] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 16629] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 16748] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 16807] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 17466] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 17495] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 17614] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 17673] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 17702] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 17731] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 17790] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 18119] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 18238] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 18387] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 18446] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 18505] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 18744] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 18953] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 19072] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 19401] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 19490] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 19609] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 19698] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 19757] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 20086] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 20175] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 20354] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 20473] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 20712] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 20921] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 20950] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 21069] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 21128] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 21187] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 21276] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 21935] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 21994] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 22113] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 22262] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 22891] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 23430] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 23549] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 23668] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 23697] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 23786] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 24175] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 24354] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 24413] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 24502] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 24591] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 24710] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 24949] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[71, 25038] ['整租·大溪地天籁轩 3室1厅 西南', '蜀山-西园-大溪地天籁轩', '92.74', '3', 3000, 3000]
[73, 2761] ['整租·安粮中心 3室2厅 南/北', '包河-工业园-安粮中心', '125.20', '3', 2800, 2800]
[85, 101] ['整租·阜阳北路77号 3室1厅 南', '庐阳-双岗-阜阳北路77号', '78.00', '3', 23000, 23000]
[97, 116] ['整租·上园 3室1厅 南/北', '肥西-肥西-上园', '85.00', '3', 1500, 1500]
[99, 116] ['整租·滨湖世纪城振徽苑 4室2厅 南', '滨湖新区-滨湖世纪-滨湖世纪城振徽苑', '146.39', '4', 3000, 3000]
[114, 2335] ['整租·招商雍华府 2室1厅 北', '滨湖新区-方兴-招商雍华府', '48.80', '2', 1600, 1600]
[135, 2779] ['整租·万达揽湖苑 2室1厅 南', '滨湖新区-环湖CBD-万达揽湖苑', '76.99', '2', 2000, 2000]
[136, 2685] ['整租·新港家园 1室1厅 南', '肥西-肥西-新港家园', '60.00', '1', 1200, 1200]
[139, 146] ['整租·滨湖新地城 2室1厅 南', '滨湖新区-滨湖世纪-滨湖新地城', '82.00', '2', 2061, 2061]
[140, 146] ['整租·阜阳北路生活小区 2室1厅 南', '庐阳-杏林-阜阳北路生活小区', '63.23', '2', 1200, 1200]
[155, 1748] ['整租·远洋万和云锦 3室1厅 南/北', '肥东-肥东-远洋万和云锦', '121.00', '3', 600, 600]
[166, 1394] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 2947] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3006] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3124] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3243] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3272] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3420] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3538] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3715] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3804] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3863] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 3982] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4041] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4070] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4249] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4278] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4487] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4546] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4695] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4814] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4843] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 4932] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 5081] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 5348] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 5762] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 5791] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 6386] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 6714] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 6922] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 6951] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 7128] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 7396] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 7485] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 7692] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 7811] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 7840] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 8106] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 8195] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 8433] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 9029] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 9178] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 9207] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 9473] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 10011] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 10069] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 10337] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 10515] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 10634] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 10751] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 10930] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 11704] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 11942] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12001] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12060] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12385] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12444] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12503] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12562] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12591] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12650] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12679] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12768] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12797] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12826] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12885] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 12973] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13032] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13061] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13209] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13238] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13357] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13565] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13624] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
[166, 13743] ['整租·吉徽苑 3室1厅 南/北', '长丰-北城-吉徽苑', '93.00', '3', 500, 500]
