[29, 31] ['整租·宝龙城市广场(青浦) 3室2厅 南', '青浦-赵巷-宝龙城市广场(青浦)', 66.73, 3, 4800, 4800]
[95, 12518] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 12577] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 12726] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 12875] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 13204] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 13443] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 13532] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 13591] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 13770] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 13859] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 13978] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 14037] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 14246] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 14395] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 14514] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 14723] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 15172] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 15741] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 15800] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 16009] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 16128] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 16307] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 16786] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 16815] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 17354] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 17683] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 17772] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 18041] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 18190] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 18399] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 18818] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 18937] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 18966] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 19055] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 19114] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 19473] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 19772] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 19981] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 20100] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 20789] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 20938] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 20967] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 21416] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 21655] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 21684] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 21953] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 21982] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 22071] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 22130] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 22369] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 22458] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 22847] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 23056] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 23535] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 23564] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 23593] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 23712] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 23951] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 24310] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 24339] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 24488] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 24667] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 25056] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 25685] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 25714] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 25863] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 26102] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 26371] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 26400] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 26579] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 26788] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 27297] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 27776] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 27805] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 27864] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 27893] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 28192] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 28341] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 28520] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 28609] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 28848] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 28877] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 28996] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 29385] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 29594] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 29683] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 29832] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 30041] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 30190] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[95, 30369] ['整租·海印又一城 1室1厅 东/西', '浦东-康桥-海印又一城', 63.0, 1, 3900, 3900]
[103, 1469] ['整租·合景理想家 1室1厅 南', '嘉定-嘉定新城-合景理想家', 43.0, 1, 3000, 3000]
[114, 117] ['整租·高荣小区 1室1厅 南/西南', '静安-曹家渡-高荣小区', 47.18, 1, 6500, 6500]
[116, 117] ['整租·万荣小区 1室1厅 南', '静安-阳城-万荣小区', 42.48, 1, 4600, 4600]
[123, 2725] ['整租·宗鑫公寓 2室2厅 南', '普陀-长寿路-宗鑫公寓', 99.73, 2, 12500, 12500]
[126, 1319] ['整租·保利熙悦名邸 3室2厅 南/北', '宝山-上大-保利熙悦名邸', 98.15, 3, 6700, 6700]
[129, 2020] ['整租·真光九街坊 1室1厅 南', '普陀-真光-真光九街坊', 41.32, 1, 5000, 5000]
[143, 145] ['整租·中环一号(一期) 3室2厅 南/北', '宝山-大华-中环一号(一期)', 117.3, 3, 8800, 8800]
[170, 2014] ['整租·众众德尚世嘉 2室2厅 南', '闵行-颛桥-众众德尚世嘉', 93.09, 2, 6200, 6200]
[174, 698] ['整租·新华联奥莱悦府 2室1厅 南', '青浦-赵巷-新华联奥莱悦府', 83.35, 2, 6600, 6600]
[175, 699] ['整租·航建大楼 2室1厅 南/北', '徐汇-斜土路-航建大楼', 52.12, 2, 7600, 7600]
[177, 696] ['整租·华美达公寓 1室0厅 北', '杨浦-黄兴公园-华美达公寓', 36.54, 1, 3800, 3800]
[181, 701] ['整租·郁庭峰 3室2厅 南/北', '长宁-北新泾-郁庭峰', 127.93, 3, 10500, 10500]
[183, 702] ['整租·长海二村 2室1厅 南', '杨浦-中原-长海二村', 56.68, 2, 4500, 4500]
[185, 706] ['整租·九英里 1室1厅 南', '宝山-共康-九英里', 53.01, 1, 5000, 5000]
[186, 705] ['整租·东方城市花园(二期) 1室2厅 南', '浦东-南码头-东方城市花园(二期)', 77.92, 1, 9300, 9300]
[189, 709] ['整租·茉莉雅苑 2室1厅 南', '松江-泗泾-茉莉雅苑', 72.0, 2, 3500, 3500]
[191, 708] ['整租·云台二小区 2室2厅 南', '浦东-世博-云台二小区', 90.92, 2, 8300, 8300]
[192, 708] ['整租·玉兰三村 3室2厅 南/北', '嘉定-安亭-玉兰三村', 75.24, 3, 4500, 4500]
[193, 712] ['整租·长风一村小区 2室0厅 南', '普陀-长风-长风一村小区', 47.56, 2, 5520, 5520]
[196, 712] ['整租·世盟壹天地 1室1厅 西', '嘉定-南翔-世盟壹天地', 35.85, 1, 3200, 3200]
[199, 713] ['整租·万科翡翠公园（商用） 1室1厅 东', '浦东-张江-万科翡翠公园（商用）', 45.37, 1, 7200, 7200]
[202, 716] ['整租·泗塘二村 1室0厅 南', '宝山-张庙-泗塘二村', 29.56, 1, 3200, 3200]
[332, 3095] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 3183] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 3271] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 3389] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 3747] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 3864] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 3893] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4012] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4041] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4070] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4307] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4366] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4543] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4750] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4899] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 4958] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 5165] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 5194] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 5343] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 5372] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 5671] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 6086] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 6203] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 6352] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 7301] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 7360] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 7509] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 7926] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 7985] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 8014] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 8281] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 8370] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 8428] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 8815] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 8844] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 8932] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 9050] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 9199] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 9258] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 9737] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 9766] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 10213] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 10628] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 10805] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 10864] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 10893] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 11458] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 11906] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 12263] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 12292] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 12321] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
[332, 12380] ['整租·莲溪三村 2室1厅 南', '浦东-北蔡-莲溪三村', 59.71, 2, 6000, 6000]
