[6, 1372] ['整租·凤凰印象 1室1厅 西南', '罗湖区-螺岭-凤凰印象', '43.72', '1', 3900, 3900]
[98, 126] ['整租·金城大厦 2室1厅 西南', '罗湖区-春风路-金城大厦', '44.42', '2', 4500, 4500]
[99, 122] ['整租·华达园公寓 1室0厅 西北', '罗湖区-百仕达-华达园公寓', '27.85', '1', 2600, 2600]
[99, 844] ['整租·华达园公寓 1室0厅 西北', '罗湖区-百仕达-华达园公寓', '27.85', '1', 2600, 2600]
[100, 118] ['整租·雅仕居 1室1厅 南', '罗湖区-清水河-雅仕居', '34.00', '1', 3100, 3100]
[100, 2054] ['整租·雅仕居 1室1厅 南', '罗湖区-清水河-雅仕居', '34.00', '1', 3100, 3100]
[102, 116] ['整租·畔山花园 2室2厅 南', '罗湖区-莲塘-畔山花园', '78.00', '2', 4100, 4100]
[102, 1688] ['整租·畔山花园 2室2厅 南', '罗湖区-莲塘-畔山花园', '78.00', '2', 4100, 4100]
[102, 1913] ['整租·畔山花园 2室2厅 南', '罗湖区-莲塘-畔山花园', '78.00', '2', 4100, 4100]
[104, 1675] ['整租·中怡大厦 2室1厅 南', '罗湖区-万象城-中怡大厦', '91.46', '2', 8000, 8000]
[106, 786] ['整租·书院街5号大院 3室2厅 东南', '罗湖区-东门-书院街5号大院', '73.94', '3', 6800, 6800]
[108, 2154] ['整租·东门168 1室1厅 东南', '罗湖区-螺岭-东门168', '25.00', '1', 2000, 2000]
[110, 122] ['整租·松泉公寓 3室2厅 南', '罗湖区-布心-松泉公寓', '74.00', '3', 4850, 4850]
[112, 123] ['整租·华裕花园 2室2厅 南', '罗湖区-螺岭-华裕花园', '98.59', '2', 5700, 5700]
[114, 2318] ['整租·港逸豪庭 3室1厅 北', '罗湖区-罗湖口岸-港逸豪庭', '90.87', '3', 7000, 7000]
[123, 1053] ['整租·文锦广场 2室1厅 南', '罗湖区-翠竹-文锦广场', '121.38', '2', 3000, 3000]
[126, 908] ['整租·怡泰大厦 2室1厅 南/北', '罗湖区-黄贝岭-怡泰大厦', '58.00', '2', 4500, 4500]
[128, 2165] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 3219] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 3278] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 3367] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 3515] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 3634] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 3871] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 4077] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 4342] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 4430] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 4459] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 4664] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 4928] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 5165] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 5578] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[128, 5637] ['整租·观山盛苑 3室2厅 东', '罗湖区-布心-观山盛苑', '73.00', '3', 3000, 3000]
[129, 273] ['整租·畔山花园 2室2厅 南', '罗湖区-莲塘-畔山花园', '78.00', '2', 3800, 3800]
[131, 147] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 309] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 594] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 2779] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 3096] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 3688] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 3806] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4041] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4098] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4274] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4391] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4507] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4535] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4622] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4856] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 4884] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 5001] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 5059] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 5176] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 5322] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 5439] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 5703] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[131, 5938] ['整租·幸福里雅居 4室2厅 东北', '罗湖区-万象城-幸福里雅居', '144.00', '4', 28000, 28000]
[132, 144] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 2969] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 2998] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 3292] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 3380] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 3438] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 3526] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 3908] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 4199] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 4461] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 4546] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 4661] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 4952] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 5389] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 5565] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 5768] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[132, 5797] ['整租·阳光绿地家园 3室2厅 西南', '罗湖区-百仕达-阳光绿地家园', '64.52', '3', 6500, 6500]
[133, 981] ['整租·润唐山庄 4室2厅 东', '罗湖区-银湖-润唐山庄', '191.21', '4', 11000, 11000]
[134, 142] ['整租·南塘物业小区 2室1厅 东南', '罗湖区-东门-南塘物业小区', '54.00', '2', 4300, 4300]
[134, 2635] ['整租·南塘物业小区 2室1厅 东南', '罗湖区-东门-南塘物业小区', '54.00', '2', 4300, 4300]
[135, 148] ['整租·时尚新居 1室1厅 南', '罗湖区-笋岗-时尚新居', '33.00', '1', 2900, 2900]
[135, 2731] ['整租·时尚新居 1室1厅 南', '罗湖区-笋岗-时尚新居', '33.00', '1', 2900, 2900]
[136, 148] ['整租·新银座华庭 1室0厅 北', '罗湖区-罗湖口岸-新银座华庭', '24.00', '1', 2300, 2300]
[136, 1475] ['整租·新银座华庭 1室0厅 北', '罗湖区-罗湖口岸-新银座华庭', '24.00', '1', 2300, 2300]
[137, 2320] ['整租·海关草埔生活区 3室2厅 南', '罗湖区-布心-海关草埔生活区', '83.20', '3', 6000, 6000]
[140, 2032] ['整租·国际名园 1室0厅 北', '罗湖区-春风路-国际名园', '24.00', '1', 2100, 2100]
[144, 2483] ['整租·虹桥星座大厦 1室0厅 南', '罗湖区-笋岗-虹桥星座大厦', '28.80', '1', 2800, 2800]
[145, 2152] ['整租·阳光绿地家园 2室1厅 东北', '罗湖区-百仕达-阳光绿地家园', '56.74', '2', 5000, 5000]
[147, 284] ['整租·源兴居 1室0厅 东', '罗湖区-洪湖-源兴居', '22.00', '1', 2300, 2300]
[147, 1553] ['整租·源兴居 1室0厅 东', '罗湖区-洪湖-源兴居', '22.00', '1', 2300, 2300]
[147, 2883] ['整租·源兴居 1室0厅 东', '罗湖区-洪湖-源兴居', '22.00', '1', 2300, 2300]
[148, 2292] ['合租·嘉宝田花园 3居室 西北/北卧', '罗湖区-笋岗-嘉宝田花园', '14.00', '3', 2300, 2300]
[153, 2054] ['整租·梧桐山新居一期 1室0厅 北', '罗湖区-莲塘-梧桐山新居一期', '28.50', '1', 2500, 2500]
[154, 1226] ['整租·罗湖金岸大厦 2室1厅 东', '罗湖区-罗湖口岸-罗湖金岸大厦', '62.00', '2', 4800, 4800]
[157, 2145] ['整租·森威大厦 1室1厅 南', '罗湖区-春风路-森威大厦', '40.71', '1', 2200, 2200]
[158, 1069] ['整租·京基水贝城市广场 3室2厅 西南', '罗湖区-翠竹-京基水贝城市广场', '116.00', '3', 9800, 9800]
[159, 1091] ['整租·宝岗花园 3室1厅 南', '罗湖区-笋岗-宝岗花园', '90.00', '3', 5000, 5000]
[160, 2545] ['整租·马古岭小区 3室1厅 南', '罗湖区-翠竹-马古岭小区', '82.72', '3', 5500, 5500]
[161, 1734] ['整租·齐明别墅 5室2厅 东/东南', '罗湖区-银湖-齐明别墅', '275.15', '5', 18000, 18000]
[162, 332] ['整租·翠竹苑 2室1厅 南', '罗湖区-百仕达-翠竹苑', '56.00', '2', 4100, 4100]
[162, 1538] ['整租·翠竹苑 2室1厅 南', '罗湖区-百仕达-翠竹苑', '56.00', '2', 4100, 4100]
[163, 332] ['整租·中信星光名庭 2室2厅 西南', '罗湖区-东门-中信星光名庭', '77.07', '2', 9000, 9000]
[163, 1158] ['整租·中信星光名庭 2室2厅 西南', '罗湖区-东门-中信星光名庭', '77.07', '2', 9000, 9000]
[163, 1536] ['整租·中信星光名庭 2室2厅 西南', '罗湖区-东门-中信星光名庭', '77.07', '2', 9000, 9000]
[163, 2620] ['整租·中信星光名庭 2室2厅 西南', '罗湖区-东门-中信星光名庭', '77.07', '2', 9000, 9000]
[165, 332] ['整租·红围街24号 1室0厅 东', '罗湖区-地王-红围街24号', '30.00', '1', 2000, 2000]
[165, 1535] ['整租·红围街24号 1室0厅 东', '罗湖区-地王-红围街24号', '30.00', '1', 2000, 2000]
[166, 332] ['整租·中信星光名庭 4室2厅 南', '罗湖区-东门-中信星光名庭', '151.00', '4', 19900, 19900]
[178, 2430] ['整租·大中华汇展阁 1室0厅 北', '罗湖区-罗湖口岸-大中华汇展阁', '43.36', '1', 3500, 3500]
[179, 2430] ['整租·ONE 39 1室1厅 东南', '罗湖区-地王-ONE 39', '68.96', '1', 7000, 7000]
[180, 2430] ['整租·聚福花园二期 3室2厅 南', '罗湖区-莲塘-聚福花园二期', '92.86', '3', 5600, 5600]
[186, 454] ['整租·桂木园 2室2厅 南', '罗湖区-地王-桂木园', '76.00', '2', 5000, 5000]
[186, 2430] ['整租·桂木园 2室2厅 南', '罗湖区-地王-桂木园', '76.00', '2', 5000, 5000]
[190, 456] ['整租·鸿昌广场 1室1厅 东南', '罗湖区-春风路-鸿昌广场', '109.00', '1', 7500, 7500]
[190, 2430] ['整租·鸿昌广场 1室1厅 东南', '罗湖区-春风路-鸿昌广场', '109.00', '1', 7500, 7500]
[204, 669] ['整租·万科东方尊峪 3室2厅 西南', '罗湖区-莲塘-万科东方尊峪', '126.57', '3', 9500, 9500]
[225, 1624] ['整租·碧清园 3室2厅 南', '罗湖区-银湖-碧清园', '91.00', '3', 8000, 8000]
[226, 662] ['整租·中信星光名庭 2室1厅 西南', '罗湖区-东门-中信星光名庭', '77.00', '2', 6500, 6500]
[226, 2228] ['整租·中信星光名庭 2室1厅 西南', '罗湖区-东门-中信星光名庭', '77.00', '2', 6500, 6500]
[228, 1623] ['整租·东门168 1室0厅 南', '罗湖区-螺岭-东门168', '23.03', '1', 2200, 2200]
[229, 1623] ['整租·华丽花园 3室2厅 西北', '罗湖区-螺岭-华丽花园', '100.40', '3', 5800, 5800]
[230, 1623] ['整租·泊林花园 3室2厅 南', '罗湖区-翠竹-泊林花园', '91.00', '3', 13000, 13000]
[231, 1623] ['整租·时尚新居 1室1厅 南', '罗湖区-笋岗-时尚新居', '37.00', '1', 3500, 3500]
[233, 1624] ['整租·靖轩豪苑 2室1厅 南', '罗湖区-黄贝岭-靖轩豪苑', '72.00', '2', 6300, 6300]
[234, 662] ['整租·地王大厦信兴广场 2室1厅 东', '罗湖区-地王-地王大厦信兴广场', '106.00', '2', 12000, 12000]
[234, 1623] ['整租·地王大厦信兴广场 2室1厅 东', '罗湖区-地王-地王大厦信兴广场', '106.00', '2', 12000, 12000]
[236, 1623] ['整租·聚龙大厦 2室2厅 南', '罗湖区-螺岭-聚龙大厦', '65.20', '2', 5000, 5000]
[237, 664] ['整租·京基东方华都 1室1厅 南', '罗湖区-螺岭-京基东方华都', '39.00', '1', 3800, 3800]
[238, 2221] ['整租·金城华庭 1室1厅 西南', '罗湖区-螺岭-金城华庭', '39.00', '1', 3800, 3800]
[242, 671] ['整租·雍翠豪园 5室2厅 复式 东南', '罗湖区-莲塘-雍翠豪园', '129.36', '5', 13000, 13000]
[284, 2713] ['整租·翠竹苑 2室1厅 南', '罗湖区-百仕达-翠竹苑', '52.00', '2', 4000, 4000]
[284, 2843] ['整租·翠竹苑 2室1厅 南', '罗湖区-百仕达-翠竹苑', '52.00', '2', 4000, 4000]
[285, 2714] ['合租·港莲二村 3居室 南卧', '罗湖区-莲塘-港莲二村', '15.00', '3', 1950, 1950]
[285, 2847] ['合租·港莲二村 3居室 南卧', '罗湖区-莲塘-港莲二村', '15.00', '3', 1950, 1950]
[287, 1543] ['整租·雍翠华府 3室2厅 南', '罗湖区-布心-雍翠华府', '75.67', '3', 5700, 5700]
[288, 1543] ['整租·深业东岭一期 2室1厅 东', '罗湖区-黄贝岭-深业东岭一期', '62.00', '2', 6300, 6300]
[288, 2714] ['整租·深业东岭一期 2室1厅 东', '罗湖区-黄贝岭-深业东岭一期', '62.00', '2', 6300, 6300]
[290, 1543] ['整租·海富花园 3室1厅 南', '罗湖区-黄贝岭-海富花园', '85.00', '3', 5000, 5000]
[290, 2847] ['整租·海富花园 3室1厅 南', '罗湖区-黄贝岭-海富花园', '85.00', '3', 5000, 5000]
[292, 2845] ['整租·庐山花园 1室0厅 东南', '罗湖区-罗湖口岸-庐山花园', '33.00', '1', 3600, 3600]
[293, 566] ['整租·华丽东村 3室2厅 南/北', '罗湖区-黄贝岭-华丽东村', '92.00', '3', 6300, 6300]
[294, 567] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 3023] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 3610] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 3727] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 3960] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 4016] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 4190] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 4306] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
[294, 4420] ['整租·星湖花园 1室1厅 南', '罗湖区-银湖-星湖花园', '38.00', '1', 3200, 3200]
