[2, 1627] ['整租·时代领峯 3室2厅 南/北', '包河-淝河镇-时代领峯', '96.26', '3', 2700, 2700]
[44, 3198] ['整租·恒大水晶国际广场 4室2厅 南/北', '包河-常青-恒大水晶国际广场', '128.16', '4', 3500, 3500]
[47, 2949] ['整租·绿地中心公馆 3室1厅 南', '包河-常青-绿地中心公馆', '87.85', '3', 2500, 2500]
[47, 2996] ['整租·绿地中心公馆 3室1厅 南', '包河-常青-绿地中心公馆', '87.85', '3', 2500, 2500]
[47, 3025] ['整租·绿地中心公馆 3室1厅 南', '包河-常青-绿地中心公馆', '87.85', '3', 2500, 2500]
[47, 3112] ['整租·绿地中心公馆 3室1厅 南', '包河-常青-绿地中心公馆', '87.85', '3', 2500, 2500]
[47, 3134] ['整租·绿地中心公馆 3室1厅 南', '包河-常青-绿地中心公馆', '87.85', '3', 2500, 2500]
[47, 3169] ['整租·绿地中心公馆 3室1厅 南', '包河-常青-绿地中心公馆', '87.85', '3', 2500, 2500]
[47, 3219] ['整租·绿地中心公馆 3室1厅 南', '包河-常青-绿地中心公馆', '87.85', '3', 2500, 2500]
[48, 1420] ['整租·曙宏南苑 1室1厅 南', '包河-常青-曙宏南苑', '53.24', '1', 1600, 1600]
[55, 308] ['整租·和昌都汇华府 4室2厅 南', '包河-周谷堆-和昌都汇华府', '112.00', '4', 3500, 3500]
[55, 590] ['整租·和昌都汇华府 4室2厅 南', '包河-周谷堆-和昌都汇华府', '112.00', '4', 3500, 3500]
[57, 2604] ['整租·万振逍遥苑四期 3室2厅 南', '包河-周谷堆-万振逍遥苑四期', '127.07', '3', 3300, 3300]
[59, 2514] ['整租·龙湖·景粼玖序 3室2厅 南', '包河-工业园-龙湖·景粼玖序', '141.33', '3', 3200, 3200]
[61, 254] ['整租·恒大水晶国际广场 1室1厅 南', '包河-常青-恒大水晶国际广场', '51.64', '1', 2500, 2500]
[63, 600] ['整租·文昌家园 2室1厅 南', '包河-周谷堆-文昌家园', '71.32', '2', 1800, 1800]
[63, 1285] ['整租·文昌家园 2室1厅 南', '包河-周谷堆-文昌家园', '71.32', '2', 1800, 1800]
[67, 1857] ['整租·高速时代首府 3室2厅 南', '包河-工业园-高速时代首府', '98.32', '3', 2500, 2500]
[69, 571] ['整租·邮电西村 2室1厅 南', '包河-芜湖路-邮电西村', '60.00', '2', 2000, 2000]
[69, 1164] ['整租·邮电西村 2室1厅 南', '包河-芜湖路-邮电西村', '60.00', '2', 2000, 2000]
[74, 2710] ['整租·铂金汉宫 2室1厅 东', '包河-包公-铂金汉宫', '50.17', '2', 2500, 2500]
[75, 3050] ['整租·融侨观澜 1室1厅 南', '包河-常青-融侨观澜', '55.00', '1', 2600, 2600]
[75, 3127] ['整租·融侨观澜 1室1厅 南', '包河-常青-融侨观澜', '55.00', '1', 2600, 2600]
[75, 3192] ['整租·融侨观澜 1室1厅 南', '包河-常青-融侨观澜', '55.00', '1', 2600, 2600]
[75, 3210] ['整租·融侨观澜 1室1厅 南', '包河-常青-融侨观澜', '55.00', '1', 2600, 2600]
[75, 3244] ['整租·融侨观澜 1室1厅 南', '包河-常青-融侨观澜', '55.00', '1', 2600, 2600]
[77, 1614] ['整租·绿地海顿公馆C 3室2厅 南', '包河-周谷堆-绿地海顿公馆C', '117.70', '3', 3800, 3800]
[77, 2550] ['整租·绿地海顿公馆C 3室2厅 南', '包河-周谷堆-绿地海顿公馆C', '117.70', '3', 3800, 3800]
[78, 99] ['整租·供电西村 2室1厅 南', '包河-常青-供电西村', '66.33', '2', 2200, 2200]
[78, 1645] ['整租·供电西村 2室1厅 南', '包河-常青-供电西村', '66.33', '2', 2200, 2200]
[79, 2337] ['整租·华太小区 4室2厅 南', '包河-包公-华太小区', '146.60', '4', 2200, 2200]
[83, 89] ['整租·高速时代首府 3室2厅 南', '包河-工业园-高速时代首府', '124.17', '3', 2900, 2900]
[85, 90] ['整租·BINGO缤购 2室2厅 南', '包河-包公-BINGO缤购', '68.84', '2', 2400, 2400]
[85, 649] ['整租·BINGO缤购 2室2厅 南', '包河-包公-BINGO缤购', '68.84', '2', 2400, 2400]
[87, 91] ['整租·金科博翠天辰 3室2厅 南', '包河-工业园-金科博翠天辰', '104.00', '3', 2200, 2200]
[87, 766] ['整租·金科博翠天辰 3室2厅 南', '包河-工业园-金科博翠天辰', '104.00', '3', 2200, 2200]
[87, 928] ['整租·金科博翠天辰 3室2厅 南', '包河-工业园-金科博翠天辰', '104.00', '3', 2200, 2200]
[92, 706] ['整租·邮政局宿舍 3室1厅 南', '包河-芜湖路-邮政局宿舍', '65.00', '3', 1500, 1500]
[94, 1758] ['整租·绿地海顿公馆A 3室2厅 南', '包河-周谷堆-绿地海顿公馆A', '141.35', '3', 4000, 4000]
[97, 123] ['整租·宝利丰广场 1室1厅 北', '包河-包公-宝利丰广场', '42.00', '1', 1600, 1600]
[97, 1996] ['整租·宝利丰广场 1室1厅 北', '包河-包公-宝利丰广场', '42.00', '1', 1600, 1600]
[97, 2143] ['整租·宝利丰广场 1室1厅 北', '包河-包公-宝利丰广场', '42.00', '1', 1600, 1600]
[99, 124] ['整租·信达天御御公馆 3室2厅 南', '包河-常青-信达天御御公馆', '77.00', '3', 2700, 2700]
[99, 325] ['整租·信达天御御公馆 3室2厅 南', '包河-常青-信达天御御公馆', '77.00', '3', 2700, 2700]
[99, 2327] ['整租·信达天御御公馆 3室2厅 南', '包河-常青-信达天御御公馆', '77.00', '3', 2700, 2700]
[100, 649] ['整租·绿地中心 4室1厅 南', '包河-常青-绿地中心', '200.00', '4', 11000, 11000]
[100, 1380] ['整租·绿地中心 4室1厅 南', '包河-常青-绿地中心', '200.00', '4', 11000, 11000]
[103, 201] ['整租·中铁·悦和院 3室2厅 南', '包河-常青-中铁·悦和院', '145.00', '3', 3500, 3500]
[103, 519] ['整租·中铁·悦和院 3室2厅 南', '包河-常青-中铁·悦和院', '145.00', '3', 3500, 3500]
[103, 1053] ['整租·中铁·悦和院 3室2厅 南', '包河-常青-中铁·悦和院', '145.00', '3', 3500, 3500]
[104, 1087] ['整租·万振逍遥苑四期 2室2厅 南', '包河-周谷堆-万振逍遥苑四期', '106.63', '2', 2700, 2700]
[104, 1489] ['整租·万振逍遥苑四期 2室2厅 南', '包河-周谷堆-万振逍遥苑四期', '106.63', '2', 2700, 2700]
[105, 908] ['整租·顶峰国际公寓 2室2厅 南', '包河-芜湖路-顶峰国际公寓', '108.28', '2', 3200, 3200]
[107, 124] ['整租·绿地铭公馆 4室2厅 南/北', '包河-常青-绿地铭公馆', '179.70', '4', 5000, 5000]
[109, 684] ['整租·绿地海顿公馆A 2室1厅 南', '包河-周谷堆-绿地海顿公馆A', '70.00', '2', 2700, 2700]
[109, 1199] ['整租·绿地海顿公馆A 2室1厅 南', '包河-周谷堆-绿地海顿公馆A', '70.00', '2', 2700, 2700]
[109, 1545] ['整租·绿地海顿公馆A 2室1厅 南', '包河-周谷堆-绿地海顿公馆A', '70.00', '2', 2700, 2700]
[111, 115] ['整租·万泓中心 3室2厅 南', '包河-工业园-万泓中心', '106.07', '3', 2390, 2390]
[111, 1376] ['整租·万泓中心 3室2厅 南', '包河-工业园-万泓中心', '106.07', '3', 2390, 2390]
[113, 116] ['整租·绿地中心 5室2厅 南', '包河-常青-绿地中心', '220.00', '5', 14000, 14000]
[117, 1737] ['整租·地矿家园 3室2厅 南', '包河-周谷堆-地矿家园', '120.00', '3', 3300, 3300]
[123, 2707] ['整租·恒生阳光城 3室2厅 南', '包河-芜湖路-恒生阳光城', '90.88', '3', 2700, 2700]
[123, 2846] ['整租·恒生阳光城 3室2厅 南', '包河-芜湖路-恒生阳光城', '90.88', '3', 2700, 2700]
[124, 2690] ['整租·警民小区 2室1厅 南/北', '包河-包公-警民小区', '66.00', '2', 1950, 1950]
[124, 2828] ['整租·警民小区 2室1厅 南/北', '包河-包公-警民小区', '66.00', '2', 1950, 1950]
[125, 2791] ['整租·新鸿意瀚海星座 1室1厅 北', '包河-芜湖路-新鸿意瀚海星座', '43.00', '1', 1500, 1500]
[126, 1913] ['整租·高铁都市花园东苑 3室2厅 南', '包河-常青-高铁都市花园东苑', '118.00', '3', 2600, 2600]
[127, 2940] ['整租·唯美·创想城 1室1厅 东/南', '包河-工业园-唯美·创想城', '46.00', '1', 1600, 1600]
[127, 2968] ['整租·唯美·创想城 1室1厅 东/南', '包河-工业园-唯美·创想城', '46.00', '1', 1600, 1600]
[127, 3053] ['整租·唯美·创想城 1室1厅 东/南', '包河-工业园-唯美·创想城', '46.00', '1', 1600, 1600]
[127, 3108] ['整租·唯美·创想城 1室1厅 东/南', '包河-工业园-唯美·创想城', '46.00', '1', 1600, 1600]
[128, 1647] ['整租·民航家园 4室2厅 南', '包河-望湖-民航家园', '143.18', '4', 2800, 2800]
[129, 141] ['整租·绿地中心公馆 3室2厅 南', '包河-常青-绿地中心公馆', '89.00', '3', 2500, 2500]
[129, 2381] ['整租·绿地中心公馆 3室2厅 南', '包河-常青-绿地中心公馆', '89.00', '3', 2500, 2500]
[131, 451] ['整租·和昌都汇华府 3室2厅 南', '包河-周谷堆-和昌都汇华府', '91.17', '3', 2200, 2200]
[131, 1319] ['整租·和昌都汇华府 3室2厅 南', '包河-周谷堆-和昌都汇华府', '91.17', '3', 2200, 2200]
[133, 554] ['整租·信达华宇锦绣龙川 3室2厅 南', '包河-淝河镇-信达华宇锦绣龙川', '98.32', '3', 3000, 3000]
[133, 1137] ['整租·信达华宇锦绣龙川 3室2厅 南', '包河-淝河镇-信达华宇锦绣龙川', '98.32', '3', 3000, 3000]
[134, 650] ['整租·绿地海顿公馆B 2室1厅 南', '包河-周谷堆-绿地海顿公馆B', '83.33', '2', 2800, 2800]
[135, 170] ['整租·文昌雅居 2室1厅 南', '包河-周谷堆-文昌雅居', '86.39', '2', 2100, 2100]
[135, 495] ['整租·文昌雅居 2室1厅 南', '包河-周谷堆-文昌雅居', '86.39', '2', 2100, 2100]
[135, 1024] ['整租·文昌雅居 2室1厅 南', '包河-周谷堆-文昌雅居', '86.39', '2', 2100, 2100]
[135, 1420] ['整租·文昌雅居 2室1厅 南', '包河-周谷堆-文昌雅居', '86.39', '2', 2100, 2100]
[136, 233] ['整租·融侨观澜 3室2厅 南', '包河-常青-融侨观澜', '104.65', '3', 3500, 3500]
[137, 141] ['整租·东风新村 3室2厅 南', '包河-常青-东风新村', '131.21', '3', 2400, 2400]
[137, 595] ['整租·东风新村 3室2厅 南', '包河-常青-东风新村', '131.21', '3', 2400, 2400]
[137, 1750] ['整租·东风新村 3室2厅 南', '包河-常青-东风新村', '131.21', '3', 2400, 2400]
[138, 141] ['整租·省地震局宿舍 3室1厅 南', '包河-包公-省地震局宿舍', '79.91', '3', 1600, 1600]
[139, 140] ['整租·徽商小区 3室0厅 南', '包河-芜湖路-徽商小区', '81.10', '3', 1900, 1900]
[141, 813] ['整租·幸福雅苑 3室1厅 南', '包河-淝河镇-幸福雅苑', '90.00', '3', 1900, 1900]
[143, 1839] ['整租·恒大水晶国际广场 1室1厅 北', '包河-常青-恒大水晶国际广场', '58.00', '1', 1800, 1800]
[143, 1984] ['整租·恒大水晶国际广场 1室1厅 北', '包河-常青-恒大水晶国际广场', '58.00', '1', 1800, 1800]
[143, 2054] ['整租·恒大水晶国际广场 1室1厅 北', '包河-常青-恒大水晶国际广场', '58.00', '1', 1800, 1800]
[144, 770] ['整租·省人大宿舍 3室1厅 南/北', '包河-芜湖路-省人大宿舍', '78.78', '3', 3000, 3000]
[144, 1695] ['整租·省人大宿舍 3室1厅 南/北', '包河-芜湖路-省人大宿舍', '78.78', '3', 3000, 3000]
[145, 423] ['整租·万达公馆 3室2厅 东南', '包河-包公-万达公馆', '195.62', '3', 8500, 8500]
[145, 2516] ['整租·万达公馆 3室2厅 东南', '包河-包公-万达公馆', '195.62', '3', 8500, 8500]
[146, 2964] ['整租·高铁都市花园 2室2厅 南', '包河-常青-高铁都市花园', '85.17', '2', 2260, 2260]
[146, 3103] ['整租·高铁都市花园 2室2厅 南', '包河-常青-高铁都市花园', '85.17', '2', 2260, 2260]
[147, 297] ['整租·万达公馆 4室2厅 东/西', '包河-包公-万达公馆', '199.99', '4', 7900, 7900]
[148, 1035] ['整租·高压开关厂宿舍 2室1厅 南/北', '包河-包公-高压开关厂宿舍', '59.00', '2', 1500, 1500]
[149, 606] ['整租·华盛格林雅地 1室1厅 南', '包河-工业园-华盛格林雅地', '51.59', '1', 1500, 1500]
[150, 613] ['整租·蓝鼎星河府 3室1厅 东南', '包河-周谷堆-蓝鼎星河府', '106.00', '3', 2700, 2700]
[151, 511] ['整租·恒大水晶国际广场 1室1厅 南', '包河-常青-恒大水晶国际广场', '50.00', '1', 2000, 2000]
[153, 510] ['整租·唯美·创想城 2室1厅 南', '包河-工业园-唯美·创想城', '48.00', '2', 1700, 1700]
[156, 1600] ['整租·望湖城桂香居金桂苑 4室2厅 南/北', '包河-望湖-望湖城桂香居金桂苑', '169.50', '4', 3000, 3000]
[157, 2923] ['整租·铂金汉宫 2室2厅 南', '包河-包公-铂金汉宫', '90.81', '2', 2800, 2800]
[157, 2950] ['整租·铂金汉宫 2室2厅 南', '包河-包公-铂金汉宫', '90.81', '2', 2800, 2800]
[157, 2956] ['整租·铂金汉宫 2室2厅 南', '包河-包公-铂金汉宫', '90.81', '2', 2800, 2800]
[157, 3032] ['整租·铂金汉宫 2室2厅 南', '包河-包公-铂金汉宫', '90.81', '2', 2800, 2800]
[157, 3086] ['整租·铂金汉宫 2室2厅 南', '包河-包公-铂金汉宫', '90.81', '2', 2800, 2800]
[157, 3092] ['整租·铂金汉宫 2室2厅 南', '包河-包公-铂金汉宫', '90.81', '2', 2800, 2800]
[158, 272] ['整租·南翔汽车智慧新城 1室1厅 南', '包河-工业园-南翔汽车智慧新城', '52.00', '1', 1000, 1000]
[158, 1114] ['整租·南翔汽车智慧新城 1室1厅 南', '包河-工业园-南翔汽车智慧新城', '52.00', '1', 1000, 1000]
[159, 784] ['整租·和昌中央城邦 1室1厅 东', '包河-工业园-和昌中央城邦', '64.45', '1', 1000, 1000]
[161, 1374] ['整租·淝河佳苑 1室1厅 南', '包河-周谷堆-淝河佳苑', '20.00', '1', 900, 900]
[163, 1194] ['合租·江南新里程 4居室 南卧', '包河-芜湖路-江南新里程', '15.00', '4', 750, 750]
[165, 2531] ['整租·望湖城桂香居福桂苑 3室1厅 南', '包河-望湖-望湖城桂香居福桂苑', '129.00', '3', 3000, 3000]
[166, 487] ['整租·江南新里程 1室1厅 西', '包河-芜湖路-江南新里程', '37.18', '1', 1700, 1700]
[166, 1007] ['整租·江南新里程 1室1厅 西', '包河-芜湖路-江南新里程', '37.18', '1', 1700, 1700]
[166, 1398] ['整租·江南新里程 1室1厅 西', '包河-芜湖路-江南新里程', '37.18', '1', 1700, 1700]
[167, 487] ['整租·锦城公馆 1室1厅 东', '包河-常青-锦城公馆', '54.14', '1', 1700, 1700]
[167, 1006] ['整租·锦城公馆 1室1厅 东', '包河-常青-锦城公馆', '54.14', '1', 1700, 1700]
[167, 1396] ['整租·锦城公馆 1室1厅 东', '包河-常青-锦城公馆', '54.14', '1', 1700, 1700]
[168, 487] ['整租·云辉阁 3室2厅 南', '包河-淝河镇-云辉阁', '132.86', '3', 2800, 2800]
[168, 1005] ['整租·云辉阁 3室2厅 南', '包河-淝河镇-云辉阁', '132.86', '3', 2800, 2800]
[168, 1394] ['整租·云辉阁 3室2厅 南', '包河-淝河镇-云辉阁', '132.86', '3', 2800, 2800]
[170, 487] ['整租·雍荣府 3室2厅 南', '包河-淝河镇-雍荣府', '116.00', '3', 3300, 3300]
[170, 1004] ['整租·雍荣府 3室2厅 南', '包河-淝河镇-雍荣府', '116.00', '3', 3300, 3300]
[172, 487] ['整租·九珑湾 2室2厅 南', '包河-工业园-九珑湾', '124.45', '2', 2800, 2800]
[172, 1003] ['整租·九珑湾 2室2厅 南', '包河-工业园-九珑湾', '124.45', '2', 2800, 2800]
[173, 487] ['整租·松湖苑 3室2厅 南', '包河-芜湖路-松湖苑', '123.00', '3', 3700, 3700]
[173, 1002] ['整租·松湖苑 3室2厅 南', '包河-芜湖路-松湖苑', '123.00', '3', 3700, 3700]
[175, 487] ['整租·铂金汉宫 1室1厅 南', '包河-包公-铂金汉宫', '51.00', '1', 2100, 2100]
[175, 1001] ['整租·铂金汉宫 1室1厅 南', '包河-包公-铂金汉宫', '51.00', '1', 2100, 2100]
[177, 487] ['整租·高铁都市花园和苑 4室1厅 南', '包河-常青-高铁都市花园和苑', '113.11', '4', 2700, 2700]
[177, 1000] ['整租·高铁都市花园和苑 4室1厅 南', '包河-常青-高铁都市花园和苑', '113.11', '4', 2700, 2700]
[180, 487] ['整租·巢湖路281号 3室1厅 南/北', '包河-包公-巢湖路281号', '73.00', '3', 1700, 1700]
[180, 999] ['整租·巢湖路281号 3室1厅 南/北', '包河-包公-巢湖路281号', '73.00', '3', 1700, 1700]
[181, 487] ['整租·和昌中央城邦 3室0厅 西', '包河-工业园-和昌中央城邦', '75.00', '3', 2800, 2800]
[181, 998] ['整租·和昌中央城邦 3室0厅 西', '包河-工业园-和昌中央城邦', '75.00', '3', 2800, 2800]
[182, 487] ['整租·邮电东村 2室1厅 南/北', '包河-芜湖路-邮电东村', '60.00', '2', 2000, 2000]
[182, 997] ['整租·邮电东村 2室1厅 南/北', '包河-芜湖路-邮电东村', '60.00', '2', 2000, 2000]
[183, 487] ['整租·南丽湾 3室2厅 南', '包河-工业园-南丽湾', '99.00', '3', 2000, 2000]
[183, 996] ['整租·南丽湾 3室2厅 南', '包河-工业园-南丽湾', '99.00', '3', 2000, 2000]
[184, 487] ['整租·美生滨江花月 2室2厅 南/北', '包河-淝河镇-美生滨江花月', '90.54', '2', 2200, 2200]
[184, 995] ['整租·美生滨江花月 2室2厅 南/北', '包河-淝河镇-美生滨江花月', '90.54', '2', 2200, 2200]
[185, 487] ['整租·恒大水晶国际广场 1室1厅 南', '包河-常青-恒大水晶国际广场', '58.62', '1', 2500, 2500]
[185, 994] ['整租·恒大水晶国际广场 1室1厅 南', '包河-常青-恒大水晶国际广场', '58.62', '1', 2500, 2500]
[186, 487] ['整租·金地国际城 3室2厅 南', '包河-周谷堆-金地国际城', '103.62', '3', 2500, 2500]
[186, 993] ['整租·金地国际城 3室2厅 南', '包河-周谷堆-金地国际城', '103.62', '3', 2500, 2500]
[187, 487] ['整租·包河万达广场 3室1厅 南/北', '包河-包公-包河万达广场', '287.32', '3', 19000, 19000]
[187, 992] ['整租·包河万达广场 3室1厅 南/北', '包河-包公-包河万达广场', '287.32', '3', 19000, 19000]
[189, 487] ['整租·双河路11号 3室1厅 西南', '包河-望湖-双河路11号', '83.17', '3', 2100, 2100]
[189, 991] ['整租·双河路11号 3室1厅 西南', '包河-望湖-双河路11号', '83.17', '3', 2100, 2100]
[192, 487] ['整租·王大郢家园欣苑 3室2厅 南/北', '包河-周谷堆-王大郢家园欣苑', '120.00', '3', 2300, 2300]
[192, 990] ['整租·王大郢家园欣苑 3室2厅 南/北', '包河-周谷堆-王大郢家园欣苑', '120.00', '3', 2300, 2300]
[193, 487] ['整租·时代领峯 3室2厅 西南/西', '包河-淝河镇-时代领峯', '95.00', '3', 2200, 2200]
[193, 989] ['整租·时代领峯 3室2厅 西南/西', '包河-淝河镇-时代领峯', '95.00', '3', 2200, 2200]
[194, 1587] ['整租·江南新里程 2室2厅 复式 南', '包河-芜湖路-江南新里程', '67.53', '2', 2800, 2800]
[195, 1587] ['整租·BINGO缤购 2室1厅 南', '包河-包公-BINGO缤购', '68.00', '2', 2600, 2600]
[197, 1587] ['整租·中辰优唐广场 1室1厅 南', '包河-常青-中辰优唐广场', '50.00', '1', 1800, 1800]
[198, 1587] ['整租·江南新里程 3室2厅 南', '包河-芜湖路-江南新里程', '125.00', '3', 3800, 3800]
[199, 1587] ['整租·金隅大成郡 3室2厅 南', '包河-淝河镇-金隅大成郡', '94.00', '3', 2700, 2700]
[200, 1587] ['整租·和昌中央城邦 1室1厅 北', '包河-工业园-和昌中央城邦', '39.18', '1', 1600, 1600]
[201, 1587] ['整租·徽州大道木材厂宿舍 2室2厅 南/北', '包河-芜湖路-徽州大道木材厂宿舍', '80.00', '2', 2700, 2700]
[202, 1587] ['整租·龙湖·景粼玖序 1室1厅 南', '包河-工业园-龙湖·景粼玖序', '53.14', '1', 10000, 10000]
[203, 1587] ['整租·青年西区 1室1厅 南', '包河-包公-青年西区', '45.00', '1', 1600, 1600]
[204, 1587] ['整租·龙湖·景粼玖序 1室1厅 南', '包河-工业园-龙湖·景粼玖序', '59.67', '1', 7200, 7200]
[206, 1587] ['整租·淝河安百苑B区 3室1厅 南', '包河-淝河镇-淝河安百苑B区', '100.00', '3', 2000, 2000]
[208, 1587] ['整租·和昌中央城邦 5室0厅 南/北', '包河-工业园-和昌中央城邦', '164.00', '5', 8000, 8000]
[209, 1587] ['整租·滨湖一号 2室1厅 西', '包河-工业园-滨湖一号', '66.72', '2', 2700, 2700]
[210, 1587] ['整租·南翔汽车智慧新城 1室1厅 南', '包河-工业园-南翔汽车智慧新城', '45.00', '1', 1350, 1350]
[211, 1587] ['整租·秋实苑 2室1厅 南', '包河-常青-秋实苑', '87.50', '2', 2200, 2200]
[212, 1587] ['整租·京华世家 2室1厅 南', '包河-淝河镇-京华世家', '97.57', '2', 2200, 2200]
[213, 1587] ['整租·绿苑小区 2室1厅 南', '包河-包公-绿苑小区', '75.00', '2', 1600, 1600]
[214, 1587] ['整租·滨湖龙川里 3室2厅 南', '包河-常青-滨湖龙川里', '107.00', '3', 3000, 3000]
[215, 1587] ['整租·民航小区 2室1厅 南', '包河-望湖-民航小区', '68.51', '2', 1600, 1600]
[216, 1587] ['整租·南翔汽车智慧新城 1室0厅 东南', '包河-工业园-南翔汽车智慧新城', '56.00', '1', 1400, 1400]
[217, 1587] ['整租·地矿家园 3室2厅 南', '包河-周谷堆-地矿家园', '110.00', '3', 2200, 2200]
[218, 1587] ['整租·枫丹城市花园 3室1厅 南', '包河-望湖-枫丹城市花园', '105.93', '3', 2400, 2400]
[219, 1587] ['整租·东祥府 3室2厅 南', '包河-常青-东祥府', '107.00', '3', 2500, 2500]
[220, 1587] ['整租·绿地海顿公馆B 9室3厅 南', '包河-周谷堆-绿地海顿公馆B', '1300.00', '9', 50000, 50000]
[221, 1587] ['整租·合肥工业大学西村 2室1厅 东南/南/西南', '包河-包公-合肥工业大学西村', '66.00', '2', 2200, 2200]
[222, 1587] ['整租·锦绣花城 3室2厅 南/北', '包河-工业园-锦绣花城', '108.00', '3', 1500, 1500]
[239, 831] ['整租·中辰优唐广场 1室1厅 南', '包河-常青-中辰优唐广场', '45.00', '1', 2400, 2400]
[240, 814] ['整租·南庭芳 3室2厅 南', '包河-常青-南庭芳', '100.00', '3', 2600, 2600]
[240, 1272] ['整租·南庭芳 3室2厅 南', '包河-常青-南庭芳', '100.00', '3', 2600, 2600]
[240, 1492] ['整租·南庭芳 3室2厅 南', '包河-常青-南庭芳', '100.00', '3', 2600, 2600]
[240, 2252] ['整租·南庭芳 3室2厅 南', '包河-常青-南庭芳', '100.00', '3', 2600, 2600]
[240, 2631] ['整租·南庭芳 3室2厅 南', '包河-常青-南庭芳', '100.00', '3', 2600, 2600]
[240, 2653] ['整租·南庭芳 3室2厅 南', '包河-常青-南庭芳', '100.00', '3', 2600, 2600]
[242, 718] ['整租·中辰优唐广场 1室1厅 南', '包河-常青-中辰优唐广场', '65.75', '1', 1800, 1800]
[243, 718] ['整租·铂金汉宫 1室1厅 南', '包河-包公-铂金汉宫', '50.86', '1', 1500, 1500]
[244, 718] ['整租·华地大厦 1室1厅 南', '包河-芜湖路-华地大厦', '50.00', '1', 1400, 1400]
[245, 718] ['整租·淝河安百苑 3室2厅 南', '包河-淝河镇-淝河安百苑', '93.11', '3', 1600, 1600]
[246, 718] ['整租·新世界公馆 2室2厅 南', '包河-包公-新世界公馆', '77.63', '2', 2900, 2900]
[247, 718] ['整租·宝利丰广场 1室1厅 西北', '包河-包公-宝利丰广场', '38.68', '1', 1800, 1800]
[248, 718] ['整租·新世界公馆 2室2厅 南', '包河-包公-新世界公馆', '82.00', '2', 2800, 2800]
[248, 1584] ['整租·新世界公馆 2室2厅 南', '包河-包公-新世界公馆', '82.00', '2', 2800, 2800]
[249, 718] ['整租·恒大水晶国际广场 1室1厅 北', '包河-常青-恒大水晶国际广场', '67.73', '1', 2000, 2000]
[249, 1583] ['整租·恒大水晶国际广场 1室1厅 北', '包河-常青-恒大水晶国际广场', '67.73', '1', 2000, 2000]
[250, 718] ['整租·宝利丰广场 1室0厅 西南', '包河-包公-宝利丰广场', '42.00', '1', 1650, 1650]
[250, 1582] ['整租·宝利丰广场 1室0厅 西南', '包河-包公-宝利丰广场', '42.00', '1', 1650, 1650]
