['整租·信达金茂广场 0室1厅 南', '天河-沙太南-信达金茂广场', '46.00', '未', 3800, 3800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·奥园广场 0室1厅 东南', '番禺-桥南-奥园广场', '40.00', '未', 1800, 1800]
['整租·侨德花园 0室3厅 东', '白云-同德围-侨德花园', '85.00', '未', 2200, 2200]
['整租·金碧新城 0室0厅 北', '白云-石井-金碧新城', '12.00', '未', 800, 800]
['整租·富力半岛花园 0室0厅 南', '白云-罗冲围-富力半岛花园', '11.00', '未', 1200, 1200]
['整租·云苑花园 0室1厅 北', '白云-景泰-云苑花园', '67.00', '未', 10500, 10500]
['整租·金桂园 0室1厅 东', '白云-桂花岗-金桂园', '10.00', '未', 1000, 1000]
['整租·粤海置业广场 0室1厅 东南', '白云-机场路-粤海置业广场', '180.00', '未', 9000, 9000]
['整租·万科蓝山 0室0厅 南/北', '白云-南湖-万科蓝山', '12.00', '未', 750, 750]
['整租·岭南新世界 0室0厅 南/北', '白云-嘉禾望岗-岭南新世界', '12.50', '未', 900, 900]
['整租·粤海置业广场 0室1厅 东南', '白云-机场路-粤海置业广场', '202.00', '未', 10100, 10100]
['整租·粤海置业广场 0室0厅 西北', '白云-机场路-粤海置业广场', '162.00', '未', 8800, 8800]
['整租·富力城北区 0室0厅 东', '白云-夏茅-富力城北区', '13.00', '未', 600, 600]
['整租·广州绿地城 0室0厅 东', '黄埔-知识城-广州绿地城', '13.00', '未', 300, 300]
['整租·南岗万达广场 0室1厅 南', '黄埔-沙村-南岗万达广场', '28.00', '未', 1500, 1500]
['整租·广州绿地城 0室0厅 东', '黄埔-知识城-广州绿地城', '13.00', '未', 300, 300]
['整租·广州绿地城 0室0厅 东', '黄埔-知识城-广州绿地城', '13.00', '未', 300, 300]
['整租·星汇峰 0室1厅 东南', '从化-太平镇-星汇峰', '40.00', '未', 1000, 1000]
['整租·星汇峰 0室1厅 东南', '从化-太平镇-星汇峰', '40.00', '未', 1000, 1000]
['整租·合景誉山国际 0室1厅 南/北', '增城-永和-合景誉山国际', '39.00', '未', 1000, 1000]
['整租·花都银丰大厦 0室1厅 北', '花都-旧区-花都银丰大厦', '63.00', '未', 2000, 2000]
['整租·云山大厦 0室3厅 南', '花都-旧区-云山大厦', '133.00', '未', 1200, 1200]
['整租·雅居乐·岭会 0室2厅 南', '花都-狮岭镇-雅居乐·岭会', '98.00', '未', 2200, 2200]
['整租·碧桂园星港国际 0室0厅 南', '花都-新区-碧桂园星港国际', '78.00', '未', 1000, 1000]
['整租·中国铁建环球中心 0室0厅 北', '南沙-南沙区府-中国铁建环球中心', '63.00', '未', 1500, 1500]
['整租·中国铁建环球中心 0室0厅 北', '南沙-南沙区府-中国铁建环球中心', '63.00', '未', 1800, 1800]
['整租·中国铁建环球中心 0室0厅 北', '南沙-南沙区府-中国铁建环球中心', '63.00', '未', 1500, 1500]
['整租·中国铁建环球中心 0室0厅 北', '南沙-南沙区府-中国铁建环球中心', '63.00', '未', 1500, 1500]
['整租·中国铁建环球中心 0室0厅 北', '南沙-南沙区府-中国铁建环球中心', '63.00', '未', 1500, 1500]
['整租·中国铁建环球中心 0室0厅 北', '南沙-南沙区府-中国铁建环球中心', '63.00', '未', 1500, 1500]
['整租·南沙境界家园 0室3厅 复式 南', '南沙-黄阁-南沙境界家园', '210.00', '未', 2000, 2000]
['整租·奥园中环广场 0室1厅 北', '南沙-金洲-奥园中环广场', '61.00', '未', 2200, 2200]
['整租·南沙万达广场 0室1厅 东南', '南沙-金洲-南沙万达广场', '253.00', '未', 7800, 7800]
['整租·中交汇通中心 0室1厅 南', '南沙-明珠湾-中交汇通中心', '51.00', '未', 1500, 1500]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·时代长岛 0室3厅 南', '南沙-进港大道-时代长岛', '83.00', '未', 2100, 2100]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
['整租·中交汇通中心 0室2厅 东南/南', '南沙-明珠湾-中交汇通中心', '66.00', '未', 3600, 3600]
