小区名,平米数,总价,均价
阳光上东    , 188.99平米 , 1560万,"82,545元/平"
东润枫景三期    , 130.78平米 , 945万,"72,259元/平"
润泽悦溪    , 159.02平米 , 1360万,"85,524元/平"
壹线国际    , 118.65平米 , 690万,"58,155元/平"
保利中央公园    , 144.92平米 , 2190万,"151,118元/平"
华亭嘉园    , 193.07平米 , 1666万,"86,290元/平"
世纪龙祥嘉园    , 158.4平米 , 798万,"50,379元/平"
芍药居甲2号院    , 39.35平米 , 415万,"105,464元/平"
美然动力A2区    , 46.31平米 , 279万,"60,247元/平"
天居园    , 51.11平米 , 340万,"66,524元/平"
炫特嘉园一期    , 39.08平米 , 256万,"65,507元/平"
白领家园    , 42.13平米 , 308万,"73,108元/平"
通惠家园    , 59.63平米 , 325万,"54,503元/平"
远洋一方润园6号院    , 74.39平米 , 345万,"46,378元/平"
远洋一方溪语苑    , 89.47平米 , 558万,"62,368元/平"
华严里    , 48.3平米 , 358万,"74,121元/平"
平乐园小区    , 61.55平米 , 430万,"69,862元/平"
北平里    , 61.04平米 , 205万,"33,585元/平"
